ponto_de_corte_alerta,alertas_emitidos,cobertura_risco_detectado,taxa_de_acerto_dos_alertas,f1,falsos_alertas,riscos_nao_detectados,verdadeiros_alertas,verdadeiros_nao_alertas
0.2,733,1.0,0.4201909959072306,0.5917387127761767,425,0,308,32
0.25,700,0.9805194805194806,0.43142857142857144,0.5992063492063492,398,6,302,59
0.3,653,0.9512987012987013,0.44869831546707506,0.6097814776274714,360,15,293,97
0.35,563,0.8928571428571429,0.48845470692717585,0.6314580941446614,288,33,275,169
0.4,463,0.7792207792207793,0.5183585313174947,0.622568093385214,223,68,240,234
0.45,392,0.6883116883116883,0.5408163265306123,0.6057142857142858,180,96,212,277
0.5,280,0.5844155844155844,0.6428571428571429,0.6122448979591837,100,128,180,357
0.55,237,0.512987012987013,0.6666666666666666,0.5798165137614679,79,150,158,378
0.6,202,0.45454545454545453,0.693069306930693,0.5490196078431373,62,168,140,395
0.65,170,0.39935064935064934,0.7235294117647059,0.5146443514644351,47,185,123,410
0.7,134,0.33116883116883117,0.7611940298507462,0.46153846153846156,32,206,102,425
0.75,88,0.22402597402597402,0.7840909090909091,0.3484848484848485,19,239,69,438
0.8,61,0.16558441558441558,0.8360655737704918,0.2764227642276423,10,257,51,447
